index,category,image_url,product_url,title,writer,genre,is_exclusive,discount,sale_price,original_price,copies_sold,rating,review_count
38,default,https://doujin-assets.dmm.co.jp/digital/cg/d_669310/d_669310pl.jpg,https://www.dmm.co.jp/dc/doujin/-/detail/=/cid=d_669310/,憧れの先輩と女友達どっちを選ぶ！？,ペンギンパーク,CG,False,50%OFF,550,1100,3672,,1
39,default,https://doujin-assets.dmm.co.jp/digital/cg/d_282092/d_282092pl.jpg,https://www.dmm.co.jp/dc/doujin/-/detail/=/cid=d_282092/,【動画】レ●プ犯の押収スマホ 〜女子校生集団強●事件犯行動画〜,GIRL SCORE,動画,False,50%OFF,1375,2750,41778,,86
40,default,https://doujin-assets.dmm.co.jp/digital/cg/d_704391/d_704391pl.jpg,https://www.dmm.co.jp/dc/doujin/-/detail/=/cid=d_704391/,一九はトンチで何でも解決する 前編,ぴよころた,CG,False,,,770,230,,1
41,default,https://doujin-assets.dmm.co.jp/digital/cg/d_686617/d_686617pl.jpg,https://www.dmm.co.jp/dc/doujin/-/detail/=/cid=d_686617/,我が家に天使がやってきた,ペンギンパーク,CG,False,50%OFF,550,1100,1121,,1
42,default,https://doujin-assets.dmm.co.jp/digital/cg/d_690050/d_690050pl.jpg,https://www.dmm.co.jp/dc/doujin/-/detail/=/cid=d_690050/,転んだらパンチラ。そこから人生が起き上がった話〜エロ巨乳スケベ優等生JKの幼馴染と、変態SEXしまくりで青春をやり直す〜,クレドソフィア,CG,True,,,990,1248,,1
43,default,https://doujin-assets.dmm.co.jp/digital/cg/d_204853/d_204853pl.jpg,https://www.dmm.co.jp/dc/doujin/-/detail/=/cid=d_204853/,ボクのいいなり上級生 1,Vadass,CG,True,50%OFF,385,770,111948,,38
44,default,https://doujin-assets.dmm.co.jp/digital/cg/d_493453/d_493453pl.jpg,https://www.dmm.co.jp/dc/doujin/-/detail/=/cid=d_493453/,男女比1:39の平行世界は思いのほか異常（Fantiaまとめ2024年1月〜12月分）,きっさー,CG,False,,,3300,5200,,5
45,default,https://doujin-assets.dmm.co.jp/digital/cg/d_267482/d_267482pl.jpg,https://www.dmm.co.jp/dc/doujin/-/detail/=/cid=d_267482/,共学になった元男子校にチョロい性格の女の子がたった一人だけ入学したら・・・3,んほぉ痴態,CG,False,60%OFF,396,990,16549,,26
46,default,https://doujin-assets.dmm.co.jp/digital/cg/d_588697/d_588697pl.jpg,https://www.dmm.co.jp/dc/doujin/-/detail/=/cid=d_588697/,とらぶるだいあり〜7 ムービー版,マーマレード★スター,動画,False,50%OFF,1045,2090,8240,,18
47,default,https://doujin-assets.dmm.co.jp/digital/cg/d_205495/d_205495pl.jpg,https://www.dmm.co.jp/dc/doujin/-/detail/=/cid=d_205495/,ボクのいいなり上級生 2,Vadass,CG,True,50%OFF,385,770,118217,,32
48,default,https://doujin-assets.dmm.co.jp/digital/cg/d_701447/d_701447pl.jpg,https://www.dmm.co.jp/dc/doujin/-/detail/=/cid=d_701447/,姪っ子●●長谷川詩穂 快楽調教痴育日誌〜私が叔父様専用の変態肉便器になるまで〜 モーションコミック版,survive,動画,False,,,2750,188,,
49,default,https://doujin-assets.dmm.co.jp/digital/cg/d_667773/d_667773pl.jpg,https://www.dmm.co.jp/dc/doujin/-/detail/=/cid=d_667773/,バチクソセクハラ○○宴会,ハムスターの煮込み,CG,False,,,990,7746,,3
